iter	MAE	RMSE
0	0.6479072005	0.7969888246
5	0.5973511909	0.7375316669
10	0.5622714408	0.6970125184
15	0.5361989271	0.6675454464
20	0.5173707235	0.6466397045
25	0.5028057693	0.6303955118
30	0.490908409	0.6174975673
35	0.4821497556	0.607951993
40	0.4749484248	0.6002922868
45	0.4689549953	0.5939607746
50	0.4640388697	0.5887791324
55	0.4598126257	0.5843496777
60	0.4561544886	0.5804972453
65	0.453036082	0.5771937865
70	0.450353332	0.5743411807
75	0.447968948	0.5719297567
80	0.4459847916	0.5697655713
85	0.4441003395	0.5678743664
90	0.4425181531	0.5662470573
95	0.4410116092	0.5647247475
99	0.4401124454	0.5637056934
