iter	Passed	Remaining
0	53	5300
1	102	5003
2	149	4844
3	197	4744
4	247	4695
5	302	4746
6	346	4606
7	392	4508
8	441	4466
9	492	4435
10	545	4416
11	592	4344
12	642	4299
13	693	4259
14	738	4184
15	789	4144
16	833	4071
17	887	4042
18	940	4008
19	1012	4049
20	1083	4074
21	1130	4007
22	1179	3950
23	1231	3900
24	1284	3854
25	1343	3824
26	1394	3771
27	1444	3714
28	1491	3652
29	1540	3594
30	1593	3547
31	1643	3492
32	1691	3435
33	1876	3643
34	1928	3581
35	1987	3533
36	2038	3471
37	2093	3416
38	2142	3350
39	2191	3287
40	2245	3230
41	2302	3180
42	2349	3114
43	2403	3058
44	2453	2998
45	2501	2936
46	2548	2873
47	2591	2807
48	2639	2747
49	2686	2686
50	2737	2629
51	2784	2570
52	2835	2514
53	2903	2473
54	2960	2422
55	3031	2381
56	3091	2332
57	3201	2318
58	3256	2263
59	3317	2211
60	3376	2158
61	3418	2095
62	3469	2037
63	3517	1978
64	3565	1920
65	3622	1865
66	3667	1806
67	3714	1747
68	3760	1689
69	3808	1632
70	3858	1575
71	3900	1516
72	3940	1457
73	3989	1401
74	4033	1344
75	4086	1290
76	4129	1233
77	4172	1176
78	4215	1120
79	4260	1065
80	4305	1009
81	4348	954
82	4398	900
83	4445	846
84	4492	792
85	4544	739
86	4586	685
87	4633	631
88	4676	577
89	4719	524
90	4771	471
91	4830	420
92	4879	367
93	4925	314
94	4970	261
95	5018	209
96	5059	156
97	5100	104
98	5142	51
99	5193	0
